id,token,name,notes,created_at,updated_at,status,due_date,status_updated_at,assignee,section,project,tags,checklists,comments
166518955,g2ngM5Yo,"A que institución, empresa, negocio, corporación y/o sector público va dirigido.",,2023-09-03T03:56:57+00:00,2023-09-03T04:18:28+00:00,1,,2023-09-03T03:56:57+00:00,,Temática,Revista Institucional,,,
166519449,flW6M0cG,Temas o tema central,,2023-09-03T04:44:37+00:00,2023-09-03T05:05:30+00:00,1,,2023-09-03T04:44:37+00:00,,Temática,Revista Institucional,,,
166519405,oltKHuYp,"Definir qué tipo de contenidos difundirás: puede ser multitemática o abarcar un solo tema; puedes incluir noticias, opiniones o tomar varios de esos elementos y combinarlos.",,2023-09-03T04:37:03+00:00,2023-09-03T05:04:45+00:00,1,,2023-09-03T04:37:03+00:00,,Temática,Revista Institucional,,,
166519750,c8FC2ZmP,"Determinar si serán contenidos locales, regionales o globales",,2023-09-03T05:00:45+00:00,2023-09-03T05:00:45+00:00,1,,2023-09-03T05:00:45+00:00,,Contenido,Revista Institucional,,,
166519371,r8mgYsz4,Establecer un lenguaje acorde a la institución,,2023-09-03T04:30:45+00:00,2023-09-03T04:30:45+00:00,1,,2023-09-03T04:30:45+00:00,,Contenido,Revista Institucional,,,
166519415,zGVOFYn8,"Número de páginas, secciones, bloques informativos y de opinión.",,2023-09-03T04:38:38+00:00,2023-09-03T04:42:13+00:00,1,,2023-09-03T04:38:38+00:00,,Contenido,Revista Institucional,,,
166518975,zYcOzmsw,"Indice en la primera página sobre los temas de los que se va a hablar, organizado por secciones",,2023-09-03T03:58:49+00:00,2023-09-03T04:05:06+00:00,1,,2023-09-03T03:58:49+00:00,,Contenido,Revista Institucional,,,
166519188,dO32BUFU,En la contratapa una introduccion detallada de la institución,,2023-09-03T04:17:42+00:00,2023-09-03T05:10:03+00:00,1,,2023-09-03T04:17:42+00:00,,Contenido,Revista Institucional,,,
166519830,sTslMh8h,"Contenido bien redactado, simple y entendible",,2023-09-03T05:11:50+00:00,2023-09-03T05:11:50+00:00,1,,2023-09-03T05:11:50+00:00,,Contenido,Revista Institucional,,,
166519726,nqLlvBPI,"Sección de contactos y datos del medio: generalmente ahí se incluye quiénes realizan la revista, los permisos, redes sociales y datos de la empresa.",,2023-09-03T04:56:53+00:00,2023-09-03T04:56:53+00:00,1,,2023-09-03T04:56:53+00:00,,Secciones,Revista Institucional,,,
166519727,pz8Te0Xu,Página editorial: es una sección destinada a un contenido que fija la postura del medio con respecto a un tema. En revistas corporativas por lo general es un mensaje de la directora o director general.,,2023-09-03T04:56:53+00:00,2023-09-03T04:56:53+00:00,1,,2023-09-03T04:56:53+00:00,,Secciones,Revista Institucional,,,
166519728,v4Z2fCzr,Secciones de opinión: son una o varias páginas no necesariamente continuas en las que se incluyan artículos con valoraciones de un experto en un ramo.,,2023-09-03T04:56:53+00:00,2023-09-03T04:56:53+00:00,1,,2023-09-03T04:56:53+00:00,,Secciones,Revista Institucional,,,
166519729,wlpiq6uZ,"Secciones informativas: pueden ser aquellos textos más noticiosos, reportajes o investigaciones que tienen una fuente, un sustento o testimonio.",,2023-09-03T04:56:54+00:00,2023-09-03T04:56:54+00:00,1,,2023-09-03T04:56:54+00:00,,Secciones,Revista Institucional,,,
166519730,fryQUspG,Sección de entrevistas: en caso de que consideres realizar entrevistas puedes destinar unas páginas para una entrevista o varias de personajes destacados en tu empresa o en tu sector.,,2023-09-03T04:56:54+00:00,2023-09-03T04:56:54+00:00,1,,2023-09-03T04:56:54+00:00,,Secciones,Revista Institucional,,,
166519731,4GulOOnj,"Secciones versátiles: pueden ser secciones que destines para entretenimiento, consejos, anuncios de cambios o innovaciones dentro de la empresa.",,2023-09-03T04:56:54+00:00,2023-09-03T04:56:54+00:00,1,,2023-09-03T04:56:54+00:00,,Secciones,Revista Institucional,,,
166519732,eNkPUbDF,"Secciones comerciales: serán las páginas que destines para publicidad, difusión de sinergias con otras empresas o todo anuncio que publiques con un fin comercial",,2023-09-03T04:56:55+00:00,2023-09-03T04:56:55+00:00,1,,2023-09-03T04:56:55+00:00,,Secciones,Revista Institucional,,,
166519111,tzFEwUst,Título y eslogan tamaño grande en la portada debe estar muy bien pensado y ser estratégico,,2023-09-03T04:05:43+00:00,2023-09-03T04:50:58+00:00,1,,2023-09-03T04:05:43+00:00,,Parte gráfica,Revista Institucional,,,
166519171,67tpcyLm,Imagen llamativa en la portada de la marca sobre el tema con más impacto dentro de la revista,,2023-09-03T04:15:24+00:00,2023-09-03T04:36:24+00:00,1,,2023-09-03T04:15:24+00:00,,Parte gráfica,Revista Institucional,,,
166519391,wWXjPXY2,Frase gancho en la portada para incentivar a leerla,,2023-09-03T04:33:24+00:00,2023-09-03T04:36:20+00:00,1,,2023-09-03T04:33:24+00:00,,Parte gráfica,Revista Institucional,,,
166519381,5B92JC3U,Logo visible de la marca en la portada,,2023-09-03T04:32:34+00:00,2023-09-03T04:32:34+00:00,1,,2023-09-03T04:32:34+00:00,,Parte gráfica,Revista Institucional,,,
166519364,mN17NgKY,Diseño y colores acorde a la marca(Institución),,2023-09-03T04:28:15+00:00,2023-09-03T04:44:11+00:00,1,,2023-09-03T04:28:15+00:00,,Parte gráfica,Revista Institucional,,,
166519403,4CQQoRpN,"Definir su tamaño, orientación (si será vertical u horizontal), distribución (si será física o digital)",,2023-09-03T04:36:14+00:00,2023-09-03T04:36:14+00:00,1,,2023-09-03T04:36:14+00:00,,Parte gráfica,Revista Institucional,,,
166519816,sIbFitJ5,Imagenes representativas/llamativa del tema en cada sección,,2023-09-03T05:08:32+00:00,2023-09-03T05:08:32+00:00,1,,2023-09-03T05:08:32+00:00,,Parte gráfica,Revista Institucional,,,
166519441,qjVZ6qC4,"Intención: a quien quieres llegar, que quieres comunicar, como lo quieres hacer",,2023-09-03T04:42:21+00:00,2023-09-03T04:42:21+00:00,1,,2023-09-03T04:42:21+00:00,,Audiencia,Revista Institucional,,,
166519444,p4e7fHEd,"Necesitas tener identificada a tu audiencia para saber qué contenidos de tu empresa les interesan, con cuáles conectarás más, cómo hablarles, entre otros.",,2023-09-03T04:43:37+00:00,2023-09-03T04:43:37+00:00,1,,2023-09-03T04:43:37+00:00,,Audiencia,Revista Institucional,,,
166519465,v2jjKvl0,"Con base en tus objetivos, la cantidad de contenidos que consideres crear y el presupuesto de recursos que puedes invertir (tiempo, dinero, equipo técnico y talento humano), puedes determinar la periodicidad con que saldrá tu revista corporativa.",,2023-09-03T04:47:43+00:00,2023-09-03T04:47:43+00:00,1,,2023-09-03T04:47:43+00:00,,Periodicidad,Revista Institucional,,,
166519469,dOev0Rau,"Puede ser mensual, bimestral o trimestral",,2023-09-03T04:48:09+00:00,2023-09-03T04:48:09+00:00,1,,2023-09-03T04:48:09+00:00,,Periodicidad,Revista Institucional,,,
166519763,p07KDj50,"Contempla toda la parte operativa es decir, la recopilación, redacción, maquetado, diseño, corrección y difusión. Todo tu equipo de trabajo tendrá sus funciones específicas.",,2023-09-03T05:01:35+00:00,2023-09-03T05:01:35+00:00,1,,2023-09-03T05:01:35+00:00,,Producción,Revista Institucional,,,
166519770,bZd5jCzN,"Qué tiempo tienes para investigar, redactar, diseñar, corregir y publicar",,2023-09-03T05:02:07+00:00,2023-09-03T05:02:07+00:00,1,,2023-09-03T05:02:07+00:00,,Producción,Revista Institucional,,,
